Resource,20251027_220208,20251027_220855,20251027_221633,20251027_230521,20251027_231322,20251027_232650,20251028_131918,20251028_144401,20251028_150415,20251028_151421,20251028_161353,20251028_173350,20251028_180044,20251028_184322,20251028_203743
Rune Pa Cha (10 unit),1188.0,1183.0,1183.0,1182.0,1150.0,,1160.0,1160.0,1159.0,1158.0,1148.0,1140.0,1140.0,1138.0,999.0
Rune Pa Cha (100 unit),10578.0,10795.0,10699.0,10795.0,10796.0,,11111.0,11098.0,11099.0,11101.0,11095.0,11091.0,11085.0,11049.0,10000.0
Rune Pa Do Per (1 unit),296.0,292.0,292.0,289.0,289.0,280.0,270.0,279.0,265.0,265.0,221.0,217.0,,,250.0
Rune Pa Do Per (10 unit),3050.0,3045.0,3073.0,3069.0,3049.0,3018.0,3095.0,2998.0,2996.0,2996.0,2993.0,3150.0,,,3143.0
Rune Pa Do Per (100 unit),34298.0,34478.0,34987.0,34990.0,34990.0,34990.0,31999.0,34298.0,34298.0,34987.0,34988.0,31995.0,,,36987.0
Rune Pa Fo (1 unit),69.0,68.0,68.0,40.0,40.0,,64.0,60.0,60.0,60.0,44.0,61.0,61.0,61.0,59.0
Rune Pa Fo (10 unit),490.0,485.0,485.0,450.0,477.0,,489.0,400.0,496.0,494.0,495.0,495.0,494.0,494.0,350.0
Rune Pa Fo (100 unit),4877.0,4876.0,4876.0,4874.0,4878.0,,5291.0,4221.0,4998.0,5000.0,4249.0,4995.0,3996.0,3995.0,3998.0
Rune Pa Ine (1 unit),44.0,43.0,43.0,43.0,43.0,43.0,396.0,99.0,98.0,98.0,98.0,98.0,97.0,98.0,50.0
Rune Pa Ine (10 unit),410.0,407.0,410.0,400.0,398.0,398.0,4443.0,4440.0,4439.0,1398.0,899.0,1390.0,990.0,989.0,850.0
Rune Pa Ine (100 unit),4198.0,4198.0,4197.0,4197.0,4198.0,4184.0,9987.0,8997.0,8993.0,8994.0,8888.0,8896.0,8797.0,8799.0,8699.0
Rune Pa Ini (1 unit),169.0,176.0,175.0,170.0,170.0,169.0,180.0,179.0,182.0,182.0,166.0,164.0,164.0,165.0,181.0
Rune Pa Ini (10 unit),1986.0,1980.0,1982.0,1940.0,1940.0,1950.0,1969.0,1971.0,1960.0,1960.0,1958.0,1499.0,1799.0,1797.0,1900.0
Rune Pa Ini (100 unit),19194.0,19190.0,19189.0,19186.0,19186.0,19185.0,18988.0,18987.0,18985.0,18985.0,18989.0,18985.0,18989.0,18989.0,18987.0
Rune Pa Pi (1 unit),44.0,44.0,44.0,44.0,44.0,44.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,28.0,28.0
Rune Pa Pi (10 unit),400.0,400.0,400.0,399.0,399.0,399.0,398.0,398.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
Rune Pa Pi (100 unit),5544.0,5543.0,5543.0,5543.0,5543.0,5543.0,5540.0,5540.0,5540.0,5540.0,5540.0,5540.0,5540.0,5539.0,5539.0
Rune Pa Pi Per (1 unit),441.0,440.0,440.0,440.0,440.0,440.0,291.0,291.0,291.0,291.0,291.0,290.0,290.0,290.0,436.0
Rune Pa Pi Per (10 unit),4979.0,4976.0,4976.0,4973.0,4973.0,4974.0,2999.0,2999.0,2997.0,2997.0,2996.0,2996.0,2996.0,2995.0,4960.0
Rune Pa Pi Per (100 unit),54998.0,54897.0,54897.0,54895.0,52489.0,52489.0,52479.0,52478.0,29555.0,29555.0,29555.0,30000.0,30000.0,30000.0,52477.0
Rune Pa Pod (1 unit),6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,5.0
Rune Pa Pod (10 unit),50.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,47.0,47.0,47.0,,44.0
Rune Pa Pod (100 unit),473.0,370.0,370.0,363.0,362.0,362.0,480.0,482.0,499.0,499.0,552.0,551.0,551.0,,541.0
Rune Pa Prospe (1 unit),3599.0,3685.0,3685.0,3644.0,3645.0,3645.0,3689.0,3691.0,3499.0,,3692.0,3791.0,3789.0,3779.0,3860.0
Rune Pa Prospe (10 unit),35095.0,35096.0,35098.0,35208.0,35211.0,35965.0,36974.0,36980.0,36980.0,,35499.0,36995.0,36993.0,37397.0,36995.0
Rune Pa Prospe (100 unit),348796.0,349975.0,361979.0,361974.0,361974.0,361974.0,361843.0,360542.0,360540.0,,360540.0,360548.0,360547.0,360544.0,360542.0
Rune Pa Sa (1 unit),96.0,97.0,97.0,96.0,96.0,96.0,102.0,99.0,99.0,99.0,99.0,98.0,98.0,101.0,74.0
Rune Pa Sa (10 unit),850.0,1009.0,1009.0,999.0,998.0,995.0,1250.0,1100.0,1098.0,1098.0,1247.0,1200.0,1250.0,1278.0,898.0
Rune Pa Sa (100 unit),9193.0,9190.0,9189.0,9183.0,9189.0,9187.0,12318.0,11900.0,10994.0,11900.0,11988.0,11000.0,10497.0,10499.0,10445.0
Rune Pa Vi (1 unit),211.0,206.0,205.0,211.0,,196.0,197.0,210.0,209.0,209.0,209.0,212.0,210.0,,206.0
Rune Pa Vi (10 unit),2197.0,2100.0,2180.0,2221.0,,2098.0,2290.0,2279.0,2286.0,2285.0,2283.0,2275.0,2099.0,,1999.0
Rune Pa Vi (100 unit),20997.0,20998.0,20998.0,23489.0,,23497.0,21996.0,21996.0,21988.0,21992.0,20999.0,20995.0,20897.0,,19000.0
Rune Pi (1 unit),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rune Pi (10 unit),9.0,10.0,10.0,10.0,10.0,10.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
Rune Pi (100 unit),490.0,489.0,488.0,488.0,488.0,488.0,483.0,500.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
Rune Pi Per (1 unit),95.0,95.0,95.0,94.0,94.0,94.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,98.0
Rune Pi Per (10 unit),1466.0,1465.0,1465.0,1464.0,1464.0,1464.0,2064.0,2064.0,2063.0,2063.0,2062.0,1968.0,1968.0,,1964.0
Rune Pi Per (100 unit),19905.0,19904.0,19903.0,19899.0,19749.0,19749.0,19991.0,19987.0,19987.0,19987.0,19986.0,19980.0,19980.0,,19978.0
Rune Po (1 unit),2910.0,2928.0,2927.0,2920.0,2899.0,2888.0,3288.0,3090.0,2999.0,2999.0,3094.0,3041.0,98.0,,3237.0
Rune Po (10 unit),30981.0,30979.0,30982.0,30985.0,30986.0,30987.0,33998.0,33993.0,33989.0,33989.0,33985.0,27999.0,1968.0,,33895.0
Rune Po (100 unit),300000.0,300000.0,339993.0,339989.0,339988.0,339988.0,339990.0,339988.0,339988.0,339988.0,339989.0,339989.0,19980.0,,337997.0
Rune Pod (1 unit),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
Rune Pod (10 unit),8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,,8.0
Rune Pod (100 unit),92.0,88.0,88.0,28.0,24.0,24.0,90.0,89.0,89.0,89.0,86.0,50.0,50.0,,46.0
